text,speaker,start,end
 don't need to go down again.,SPEAKER_01,0:11:29.720000,0:11:31.720000
 Yeah.,SPEAKER_01,0:11:31.720000,0:11:32.720000
 Okay.,SPEAKER_01,0:11:32.720000,0:11:33.720000
 Let's see where we are.,SPEAKER_01,0:11:33.720000,0:11:34.720000
 All right.,UNKNOWN,0:11:34.720000,0:11:35.720000
 Cool.,SPEAKER_01,0:11:35.720000,0:11:36.720000
 How do we do the circle?,SPEAKER_01,0:11:36.720000,0:11:37.720000
 That's just goes in the next house.,SPEAKER_01,0:11:37.720000,0:11:38.720000
 The next window.,SPEAKER_01,0:11:38.720000,0:11:39.720000
 Yeah.,SPEAKER_02,0:11:39.720000,0:11:40.720000
 Yeah.,SPEAKER_02,0:11:40.720000,0:11:41.720000
 Yeah.,SPEAKER_02,0:11:41.720000,0:11:42.720000
 Yeah.,UNKNOWN,0:11:42.720000,0:11:43.720000
 Anyway.,SPEAKER_02,0:11:43.720000,0:11:44.720000
 Wait.,UNKNOWN,0:11:44.720000,0:11:45.720000
 Are you in the middle?,SPEAKER_01,0:11:45.720000,0:11:46.720000
 I don't know where I have anymore.,SPEAKER_01,0:11:46.720000,0:11:48.720000
 Just keep.,SPEAKER_01,0:11:48.720000,0:11:49.720000
 Wait.,SPEAKER_01,0:11:49.720000,0:11:50.720000
 Just move your life.,SPEAKER_01,0:11:50.720000,0:11:51.720000
 Can you press one?,SPEAKER_01,0:11:51.720000,0:11:52.720000
 Sure.,SPEAKER_01,0:11:52.720000,0:11:53.720000
 I thought I lined it up.,SPEAKER_01,0:11:53.720000,0:11:54.720000
 Just write those.,SPEAKER_01,0:11:54.720000,0:11:55.720000
 Oh.,UNKNOWN,0:11:55.720000,0:11:56.720000
 Oh; wait.,UNKNOWN,0:11:56.720000,0:11:57.720000
 Hold up.,UNKNOWN,0:11:57.720000,0:11:58.720000
 You see it move.,UNKNOWN,0:11:58.720000,0:11:59.720000
 Yeah.,SPEAKER_02,0:11:59.720000,0:12:00.720000
 Then we can just need to go back to the inside.,SPEAKER_02,0:12:00.720000,0:12:02.720000
 Oh; I see.,SPEAKER_02,0:12:02.720000,0:12:03.720000
 Yeah.,SPEAKER_01,0:12:03.720000,0:12:04.720000
 You don't have to make up.,SPEAKER_01,0:12:04.720000,0:12:05.720000
 You don't have to cross.,SPEAKER_01,0:12:05.720000,0:12:06.720000
 Across the house.,SPEAKER_01,0:12:06.720000,0:12:07.720000
 Do you?,SPEAKER_01,0:12:07.720000,0:12:08.720000
 Okay.,SPEAKER_01,0:12:08.720000,0:12:09.720000
 Hold up.,SPEAKER_01,0:12:09.720000,0:12:10.720000
 Okay.,SPEAKER_01,0:12:10.720000,0:12:11.720000
 Uh; a.,SPEAKER_01,0:12:11.720000,0:12:12.720000
 Nice.,SPEAKER_01,0:12:12.720000,0:12:14.720000
 Yeah.,UNKNOWN,0:12:14.720000,0:12:15.720000
 You can teach it that line.,SPEAKER_02,0:12:15.720000,0:12:17.720000
 Mm-hmm.,SPEAKER_02,0:12:17.720000,0:12:18.720000
 Okay.,SPEAKER_02,0:12:18.720000,0:12:19.720000
 Is it my turn?,SPEAKER_01,0:12:19.720000,0:12:20.720000
 Yeah.,SPEAKER_01,0:12:20.720000,0:12:21.720000
 Okay.,SPEAKER_01,0:12:21.720000,0:12:22.720000
 Let's see if we can be.,SPEAKER_01,0:12:22.720000,0:12:25.720000
 Oh.,SPEAKER_01,0:12:25.720000,0:12:26.720000
 Okay.,SPEAKER_01,0:12:26.720000,0:12:28.720000
 So.,SPEAKER_01,0:12:28.720000,0:12:29.720000
 D.,SPEAKER_01,0:12:29.720000,0:12:30.720000
 I'm going to say.,SPEAKER_01,0:12:30.720000,0:12:33.720000
 There.,SPEAKER_01,0:12:33.720000,0:12:34.720000
 Nice.,UNKNOWN,0:12:34.720000,0:12:35.720000
 Nice balance.,SPEAKER_01,0:12:35.720000,0:12:36.720000
 And I think I need you to go back to where you want me to do the right.,SPEAKER_01,0:12:36.720000,0:12:39.720000
 Yes.,SPEAKER_01,0:12:39.720000,0:12:40.720000
 I'm going to.,SPEAKER_02,0:12:40.720000,0:12:41.720000
 I'm going to make it the same.,SPEAKER_02,0:12:41.720000,0:12:42.720000
 Sure.,SPEAKER_02,0:12:42.720000,0:12:43.720000
 So.,SPEAKER_02,0:12:43.720000,0:12:44.720000
 So it will be wonky again.,SPEAKER_01,0:12:44.720000,0:12:46.720000
 That's fine.,SPEAKER_01,0:12:46.720000,0:12:47.720000
 Is it that?,SPEAKER_01,0:12:47.720000,0:12:48.720000
 Yeah.,SPEAKER_01,0:12:48.720000,0:12:49.720000
 Looks like it actually.,SPEAKER_01,0:12:49.720000,0:12:50.720000
 Okay.,SPEAKER_01,0:12:50.720000,0:12:51.720000
 Oh.,SPEAKER_01,0:12:51.720000,0:12:52.720000
 Boom.,SPEAKER_01,0:12:52.720000,0:12:53.720000
 So let's make it the same two.,SPEAKER_01,0:12:53.720000,0:12:55.720000
 Hey.,SPEAKER_01,0:12:55.720000,0:12:56.720000
 So it's least symmetrical.,SPEAKER_01,0:12:56.720000,0:12:58.720000
 Yeah.,SPEAKER_01,0:12:58.720000,0:12:59.720000
 And then.,SPEAKER_01,0:12:59.720000,0:13:00.720000
 Down.,UNKNOWN,0:13:00.720000,0:13:02.720000
 All right.,UNKNOWN,0:13:02.720000,0:13:03.720000
 Cool.,UNKNOWN,0:13:03.720000,0:13:04.720000
 Now what?,UNKNOWN,0:13:04.720000,0:13:05.720000
 Oh; I forgot to do the chimney.,SPEAKER_01,0:13:05.720000,0:13:07.720000
 Oh; yes.,SPEAKER_01,0:13:07.720000,0:13:08.720000
 Oh; yes.,SPEAKER_01,0:13:08.720000,0:13:09.720000
 Oh; yes.,SPEAKER_01,0:13:09.720000,0:13:10.720000
 Oh; yes.,SPEAKER_01,0:13:10.720000,0:13:11.720000
 All right.,SPEAKER_01,0:13:11.720000,0:13:12.720000
 And then the left.,SPEAKER_01,0:13:12.720000,0:13:13.720000
 I think so.,SPEAKER_01,0:13:13.720000,0:13:14.720000
 Oh; no.,SPEAKER_01,0:13:14.720000,0:13:15.720000
 All right.,SPEAKER_01,0:13:15.720000,0:13:16.720000
 Do you want me to get up there; though?,UNKNOWN,0:13:16.720000,0:13:18.720000
 Yeah.,SPEAKER_01,0:13:18.720000,0:13:19.720000
 Are you sure you want to go back a little bit?,SPEAKER_01,0:13:19.720000,0:13:22.720000
 Okay.,SPEAKER_01,0:13:22.720000,0:13:23.720000
 Are you sure?,SPEAKER_01,0:13:23.720000,0:13:25.720000
 Oh; no; no.,SPEAKER_01,0:13:25.720000,0:13:27.720000
 Are you okay?,SPEAKER_01,0:13:27.720000,0:13:28.720000
 Yeah.,SPEAKER_01,0:13:28.720000,0:13:29.720000
 It's good.,SPEAKER_01,0:13:29.720000,0:13:30.720000
 This is the last.,SPEAKER_01,0:13:30.720000,0:13:31.720000
 I can do.,SPEAKER_01,0:13:31.720000,0:13:32.720000
 Oh; do we have to do the stairs to go back up there?,SPEAKER_01,0:13:32.720000,0:13:35.720000
 Yeah.,SPEAKER_01,0:13:35.720000,0:13:36.720000
 Really?,SPEAKER_01,0:13:36.720000,0:13:37.720000
 Yeah.,SPEAKER_01,0:13:37.720000,0:13:38.720000
 Everything's wrong.,SPEAKER_01,0:13:38.720000,0:13:39.720000
 Where do you anyways?,SPEAKER_01,0:13:39.720000,0:13:40.720000
 Well; I'll just cut across.,SPEAKER_01,0:13:40.720000,0:13:41.720000
 Let's cut across and make chimney.,SPEAKER_01,0:13:41.720000,0:13:42.720000
 Come on.,SPEAKER_01,0:13:42.720000,0:13:43.720000
 Come on.,UNKNOWN,0:13:43.720000,0:13:44.720000
 Come on and dance.,SPEAKER_01,0:13:44.720000,0:13:45.720000
 You're in charge of it.,SPEAKER_01,0:13:45.720000,0:13:46.720000
 Okay.,SPEAKER_01,0:13:46.720000,0:13:47.720000
 Okay.,SPEAKER_01,0:13:47.720000,0:13:48.720000
 Okay.,SPEAKER_01,0:13:48.720000,0:13:49.720000
 D.,SPEAKER_01,0:13:50.720000,0:13:51.720000
 Hi; guys.,SPEAKER_01,0:13:51.720000,0:13:52.720000
 I'm really sorry.,SPEAKER_00,0:13:52.720000,0:13:53.720000
 I'm going to come back in there.,SPEAKER_00,0:13:53.720000,0:13:54.720000
 That is the eight.,SPEAKER_00,0:13:54.720000,0:13:55.720000
 Okay.,SPEAKER_00,0:13:55.720000,0:13:56.720000
 How did you find that?,SPEAKER_00,0:13:56.720000,0:13:58.720000
 Hard because you do not do diagonal lines all make over.,SPEAKER_00,0:13:58.720000,0:14:02.720000
 It is quite tricky; isn't it?,SPEAKER_00,0:14:02.720000,0:14:04.720000
 I'm just going to stop the recording now.,SPEAKER_00,0:14:04.720000,0:14:06.720000
